,Silence,DFAexp,sub_id,ch
372,2,1.0030415290467212,23.0,8.0
373,2,1.0119702912298796,23.0,9.0
374,2,0.8052844910025363,30.0,0.0
375,2,0.8162171279096371,30.0,1.0
376,2,0.8521588971187798,30.0,2.0
377,2,0.8321500379856184,30.0,3.0
378,2,0.7821695703495212,30.0,4.0
379,2,0.7809507318840008,30.0,5.0
380,2,0.7748599073073907,30.0,6.0
381,2,0.8426533318119277,30.0,7.0
382,2,0.9314309756733496,33.0,0.0
383,2,0.8485482034059993,33.0,1.0
384,2,0.8223050270780133,33.0,2.0
385,2,0.8215457911360733,33.0,3.0
386,2,0.8064521900420575,33.0,4.0
387,2,0.8232792111625541,33.0,5.0
388,2,0.795520934160054,33.0,6.0
389,2,0.8250274662696645,33.0,7.0
390,2,0.8427709050806308,33.0,8.0
391,2,0.9046001925757303,35.0,0.0
392,2,0.9222865603058226,35.0,1.0
393,2,0.9448080274447562,35.0,2.0
394,2,0.9081443460204403,35.0,3.0
395,2,0.8299173804664146,35.0,4.0
396,2,0.9083181918047273,35.0,5.0
397,2,0.8628564313841413,35.0,6.0
398,2,0.8507631379574367,35.0,7.0
399,2,0.882473026210757,35.0,8.0
400,2,0.8491448761267978,35.0,9.0
401,2,0.8279158256172332,37.0,0.0
402,2,0.8502672529521398,37.0,1.0
403,2,0.8408860974543646,37.0,2.0
404,2,0.8103164519389445,37.0,3.0
405,2,0.8083150604239804,37.0,4.0
406,2,0.8081192685972858,37.0,5.0
407,2,0.8005744223836825,37.0,6.0
408,2,0.7378523457614419,37.0,7.0
409,2,0.7792900714069946,37.0,8.0
410,2,0.7237755193585725,37.0,9.0
411,2,0.728994632356311,40.0,0.0
412,2,0.7191087876688418,40.0,1.0
413,2,0.7761015541364468,40.0,2.0
414,2,0.7302047141575784,40.0,3.0
415,2,0.7042040637139366,40.0,4.0
416,2,0.7438544191345191,40.0,5.0
417,2,0.7678762331415381,40.0,6.0
418,2,0.7783321139442227,40.0,7.0
419,2,0.8666270123479884,45.0,0.0
420,2,0.8606169963147208,45.0,1.0
421,2,0.9115770434081725,45.0,2.0
422,2,0.8916279491854272,45.0,3.0
423,2,0.9085255227199439,45.0,4.0
424,2,0.829155624728113,45.0,5.0
425,2,0.8096211126961177,45.0,6.0
426,2,0.8626220746750204,45.0,7.0
427,2,0.9135281443802395,45.0,8.0
428,2,0.8424310022228727,47.0,0.0
429,2,0.8441765184879906,47.0,1.0
430,2,0.843839621169908,47.0,2.0
431,2,0.8195406290006795,47.0,3.0
432,2,0.8025039534951837,47.0,4.0
433,2,0.8081128554847314,47.0,5.0
434,2,0.8173772816383464,47.0,6.0
435,2,0.9045277372218858,49.0,0.0
436,2,0.9133476642800908,49.0,1.0
437,2,0.9116196306546487,49.0,2.0
438,2,0.9141699834206054,49.0,3.0
439,2,0.8759782825174268,49.0,4.0
440,2,0.8803935919164385,49.0,5.0
441,2,0.8954228622535868,49.0,6.0
442,2,0.909483395071052,49.0,7.0
