,Silence,DFAexp,sub_id,ch
0,1,0.5254707131003984,5.0,0.0
1,1,0.6048808551322068,5.0,1.0
2,1,0.5793255049663764,5.0,2.0
3,1,0.5814720581134563,5.0,3.0
4,1,0.6978630143645552,5.0,4.0
5,1,0.6619871518736413,5.0,5.0
6,1,0.5000622170359876,5.0,6.0
7,1,0.842164160036714,6.0,0.0
8,1,0.7794523902344965,6.0,1.0
9,1,0.8250375480502381,6.0,2.0
10,1,0.8079381109968303,6.0,3.0
11,1,0.8819866336526002,6.0,4.0
12,1,0.756020849897697,6.0,5.0
13,1,0.7955637016616359,6.0,6.0
14,1,0.7825906781898975,6.0,7.0
15,1,0.6661021656158033,6.0,8.0
16,1,0.7766028855635356,6.0,9.0
17,1,0.9673994887940629,9.0,0.0
18,1,0.9641267290545863,9.0,1.0
19,1,0.9573233255613993,9.0,2.0
20,1,0.9689887357437528,9.0,3.0
21,1,1.0096181313874129,9.0,4.0
22,1,0.965021499043533,9.0,5.0
23,1,0.9620437659978349,9.0,6.0
24,1,0.939884318402167,9.0,7.0
25,1,0.9520588946247701,9.0,8.0
26,1,0.9714492698638797,11.0,0.0
27,1,0.841250647255676,11.0,1.0
28,1,0.8221229068939738,11.0,2.0
29,1,0.8403118249244436,11.0,3.0
30,1,1.0933226785623447,11.0,4.0
31,1,0.9598063464359873,11.0,5.0
32,1,0.8504131903090024,11.0,6.0
33,1,0.8367052906973995,11.0,7.0
34,1,0.8122863991032857,11.0,8.0
35,1,0.8267525991649906,11.0,9.0
36,1,1.0009672854842173,12.0,0.0
37,1,1.030841563387583,12.0,1.0
38,1,1.0291725014273725,12.0,2.0
39,1,1.0302428058913697,12.0,3.0
40,1,1.0442831566831487,12.0,4.0
41,1,1.01983143447525,12.0,5.0
42,1,1.0230239503037257,12.0,6.0
43,1,0.9863027080510074,12.0,7.0
44,1,1.0042401819175746,12.0,8.0
45,1,0.8282646813973705,12.0,9.0
46,1,0.9032501170553171,16.0,0.0
47,1,1.0800029155666178,16.0,1.0
48,1,0.8704106807307768,16.0,2.0
49,1,0.886054106615652,16.0,3.0
50,1,0.864288496650488,16.0,4.0
51,1,0.8411319895738634,16.0,5.0
52,1,0.8939495375771728,16.0,6.0
53,1,0.8602555407101952,16.0,7.0
54,1,1.0075379248270664,16.0,8.0
55,1,0.8196499466995562,17.0,0.0
56,1,0.7212173918562472,17.0,1.0
57,1,0.7713029076478917,17.0,2.0
58,1,0.6873002193369776,17.0,3.0
59,1,0.6876666419875408,17.0,4.0
60,1,0.7851564712694149,17.0,5.0
61,1,0.5801822247249977,17.0,6.0
62,1,0.6358421958810696,17.0,7.0
63,1,0.6260929352478732,17.0,8.0
64,1,0.6371739679445954,17.0,9.0
65,1,1.0065996101208885,18.0,0.0
66,1,0.9929347746785562,18.0,1.0
67,1,1.0043699644941353,18.0,2.0
68,1,0.988817535893959,18.0,3.0
69,1,0.9653952743706891,18.0,4.0
70,1,0.9785130519762444,18.0,5.0
71,1,0.9659957764204689,18.0,6.0
72,1,0.9600538425689709,18.0,7.0
73,1,0.941917979635944,19.0,0.0
74,1,0.9258497962471265,19.0,1.0
75,1,0.899305168291643,19.0,2.0
76,1,0.8356369915170944,19.0,3.0
77,1,0.8989647838336956,19.0,4.0
78,1,0.965170599756059,19.0,5.0
79,1,0.9029807546458548,19.0,6.0
80,1,0.8937797661478203,19.0,7.0
81,1,0.9042420186978167,19.0,8.0
82,1,1.019698665711244,23.0,0.0
83,1,1.0604512577275262,23.0,1.0
84,1,1.0518102648357646,23.0,2.0
85,1,1.0474923105258518,23.0,3.0
86,1,1.0978922090927683,23.0,4.0
87,1,1.0297761742162983,23.0,5.0
88,1,1.0382520296748439,23.0,6.0
89,1,1.066083254101813,23.0,7.0
90,1,1.137376053219619,30.0,0.0
91,1,1.1586258693520428,30.0,1.0
92,1,1.0679672426436106,30.0,2.0
93,1,1.085559805662009,30.0,3.0
94,1,1.1139512011962158,30.0,4.0
95,1,1.1159711953092657,30.0,5.0
96,1,1.0923716867445827,30.0,6.0
97,1,1.1165717126646193,30.0,7.0
98,1,1.0687843414749012,30.0,8.0
99,1,1.117095570848484,30.0,9.0
100,1,0.9655170255603254,33.0,0.0
101,1,0.9754386548072567,33.0,1.0
102,1,0.9691228383022805,33.0,2.0
103,1,0.9856655760426958,33.0,3.0
104,1,0.9923864407549323,33.0,4.0
105,1,0.9484272285112123,33.0,5.0
106,1,0.9430645270049162,33.0,6.0
107,1,1.1246246210628983,35.0,0.0
108,1,1.084907054579161,35.0,1.0
109,1,1.0827069326411123,35.0,2.0
110,1,1.1080664654169012,35.0,3.0
111,1,1.1117074149945336,35.0,4.0
112,1,1.0826660655263414,35.0,5.0
113,1,1.0718069601991833,35.0,6.0
114,1,1.0840612845279756,35.0,7.0
115,1,1.0729196499189373,35.0,8.0
116,1,1.0057197611211077,37.0,0.0
117,1,1.014771038482723,37.0,1.0
118,1,1.024895572439847,37.0,2.0
119,1,1.0184395955636139,37.0,3.0
120,1,1.023749796010518,37.0,4.0
121,1,1.0371971312621593,37.0,5.0
122,1,1.0144603719347405,37.0,6.0
123,1,0.9992778408329615,37.0,7.0
124,1,1.0096641571706015,37.0,8.0
125,1,0.988443803122756,37.0,9.0
126,1,0.8598709367630428,40.0,0.0
127,1,0.8402503988623706,40.0,1.0
128,1,0.8363827296423034,40.0,2.0
129,1,0.8281485659857605,40.0,3.0
130,1,0.8206486268760577,40.0,4.0
131,1,0.8260292526615132,40.0,5.0
132,1,0.7382187325740452,45.0,0.0
133,1,0.6775702263068126,45.0,1.0
134,1,0.6840162408902912,45.0,2.0
135,1,0.6266885730387813,45.0,3.0
136,1,0.674174859526109,45.0,4.0
137,1,0.7350518707453805,45.0,5.0
138,1,0.6934618042457943,45.0,6.0
139,1,0.6801331719079613,45.0,7.0
140,1,0.8498436837207026,45.0,8.0
141,1,1.1548881018913415,47.0,0.0
142,1,1.1440029314701938,47.0,1.0
143,1,1.0865609980275848,47.0,2.0
144,1,1.107953751342952,47.0,3.0
145,1,1.1217869885113356,47.0,4.0
146,1,1.0679645613573017,47.0,5.0
147,1,1.0799090435163672,47.0,6.0
148,1,1.102668249160831,47.0,7.0
149,1,1.0902254351605651,47.0,8.0
150,1,1.0113652437991885,49.0,0.0
151,1,0.909404171386653,49.0,1.0
152,1,0.9987531694321143,49.0,2.0
153,1,1.0017814872273059,49.0,3.0
154,1,1.0110944553644896,49.0,4.0
155,1,0.9483725228222177,49.0,5.0
156,1,0.9422674963053654,49.0,6.0
157,1,0.9426999840347997,49.0,7.0
158,1,0.9626304773831161,49.0,8.0
159,1,0.9474006974957686,49.0,9.0
160,1,1.0447954100007228,52.0,0.0
161,1,1.0504648779290768,52.0,1.0
162,1,1.0557751703495075,52.0,2.0
163,1,1.0759337083720044,52.0,3.0
164,1,1.0734136965072392,52.0,4.0
165,1,1.0001018222578664,52.0,5.0
166,1,1.0526135378834989,52.0,6.0
167,1,1.05213333811755,52.0,7.0
168,1,1.0794351036195722,52.0,8.0
169,1,1.0097970506209784,52.0,9.0
170,1,0.8905713681056818,56.0,0.0
171,1,0.9060929104962636,56.0,1.0
172,1,0.8988936958014999,56.0,2.0
173,1,0.9197275830321785,56.0,3.0
174,1,0.9435287608786491,56.0,4.0
175,1,0.9091935605746289,56.0,5.0
176,1,0.8981873966726198,56.0,6.0
177,1,0.8914659644918151,56.0,7.0
178,1,0.8880918082358857,56.0,8.0
179,1,0.8925178792499668,56.0,9.0
180,1,1.0318566644698381,58.0,0.0
181,1,1.0761153411832225,58.0,1.0
182,1,1.0073779846402873,58.0,2.0
183,1,1.0239376398486706,58.0,3.0
