,Silence,DFAexp,sub_id,ch
0,1,0.8479320141922599,5.0,0.0
1,1,0.8930316872335813,5.0,1.0
2,1,0.9694715027528995,5.0,2.0
3,1,0.8821998974319405,5.0,3.0
4,1,0.7994181513949925,5.0,4.0
5,1,0.7354724587556299,5.0,5.0
6,1,0.7876792985227747,5.0,6.0
7,1,0.6806156599227813,6.0,0.0
8,1,0.6747525869824227,6.0,1.0
9,1,0.7447299547480847,6.0,2.0
10,1,0.6911091317989286,6.0,3.0
11,1,0.6726545460420565,6.0,4.0
12,1,0.7318401781324423,6.0,5.0
13,1,0.6747385551311336,6.0,6.0
14,1,0.7256840567605631,6.0,7.0
15,1,0.7467574093114135,6.0,8.0
16,1,0.6430616404365235,6.0,9.0
17,1,0.6611397945581157,9.0,0.0
18,1,0.7546036420121923,9.0,1.0
19,1,0.7276473756680715,9.0,2.0
20,1,0.7043658052272131,9.0,3.0
21,1,0.6375616281359652,9.0,4.0
22,1,0.6814467310041834,9.0,5.0
23,1,0.7758477285440604,9.0,6.0
24,1,0.7526224878866543,9.0,7.0
25,1,0.7290406581353446,9.0,8.0
26,1,0.7512187391985972,11.0,0.0
27,1,0.6914062571626203,11.0,1.0
28,1,0.7287662179713565,11.0,2.0
29,1,0.7086416014235867,11.0,3.0
30,1,0.7948531506876495,11.0,4.0
31,1,0.6905136966643344,11.0,5.0
32,1,0.6714416725529737,11.0,6.0
33,1,0.7794610934151187,11.0,7.0
34,1,0.7491220652397449,11.0,8.0
35,1,0.7069662088117994,11.0,9.0
36,1,0.7921697605972857,12.0,0.0
37,1,0.7963039099113219,12.0,1.0
38,1,0.7887670654417722,12.0,2.0
39,1,0.8000134145769449,12.0,3.0
40,1,0.7953397283993378,12.0,4.0
41,1,0.7686954149861641,12.0,5.0
42,1,0.7474963268105563,12.0,6.0
43,1,0.8333277704086574,12.0,7.0
44,1,0.7760400692422994,12.0,8.0
45,1,0.7956958671661127,12.0,9.0
46,1,0.7073235728861512,16.0,0.0
47,1,0.7473663420211942,16.0,1.0
48,1,0.6634360429096604,16.0,2.0
49,1,0.6685291517776712,16.0,3.0
50,1,0.6567952590252477,16.0,4.0
51,1,0.7083057718191101,16.0,5.0
52,1,0.8125392014691273,16.0,6.0
53,1,0.7137262260497677,16.0,7.0
54,1,0.7231976398681378,16.0,8.0
55,1,0.8308917694311405,17.0,0.0
56,1,0.8110169155566773,17.0,1.0
57,1,0.8152797141703163,17.0,2.0
58,1,0.7760198262410484,17.0,3.0
59,1,0.7759621808778969,17.0,4.0
60,1,0.7824543672234282,17.0,5.0
61,1,0.7824501605647827,17.0,6.0
62,1,0.8024569542203062,17.0,7.0
63,1,0.77688103449794,17.0,8.0
64,1,0.7802830874898892,17.0,9.0
65,1,0.7578225843405133,18.0,0.0
66,1,0.6694776763507461,18.0,1.0
67,1,0.6598631651551297,18.0,2.0
68,1,0.7477961788481025,18.0,3.0
69,1,0.7148262496494087,18.0,4.0
70,1,0.7964523668503529,18.0,5.0
71,1,0.7265393152240492,18.0,6.0
72,1,0.6838954857956928,18.0,7.0
73,1,0.8057593592723526,19.0,0.0
74,1,0.7144903977643007,19.0,1.0
75,1,0.7811790134345865,19.0,2.0
76,1,0.679261310325208,19.0,3.0
77,1,0.7335389697596366,19.0,4.0
78,1,0.7013911406779645,19.0,5.0
79,1,0.729947888539822,19.0,6.0
80,1,0.7060660294760676,19.0,7.0
81,1,0.6691297250262321,19.0,8.0
82,1,0.8415322704217112,23.0,0.0
83,1,0.804685746416512,23.0,1.0
